Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,ip,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,rna_fraction
SRR12840005,OTHER,76,2519631040,PRJNA669852,SAMN16478275,930357191,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307508,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835530,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835530,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840006,OTHER,76,3167904732,PRJNA669852,SAMN16478274,1186155768,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307509,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835531,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835531,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840007,OTHER,75,5598101775,PRJNA669852,SAMN16478273,2049295614,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307510,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835532,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835532,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840008,OTHER,74,2723917738,PRJNA669852,SAMN16478306,1339259646,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307511,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835533,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835533,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840009,OTHER,74,4020163734,PRJNA669852,SAMN16478305,1833678498,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307512,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835534,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835534,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840010,OTHER,75,5432328825,PRJNA669852,SAMN16478304,1932550970,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307513,"RPB3::RPB3-3xFLAG NAT\, HDA1::HIS3",GSM4835535,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835535,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840011,OTHER,75,2987628900,PRJNA669852,SAMN16478303,1138791602,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307514,"RPB3::RPB3-3xFLAG NAT\, HPC2::HIS3",GSM4835536,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835536,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840013,OTHER,76,4269869924,PRJNA669852,SAMN16478301,1579426329,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307516,"RPB3::RPB3-3xFLAG NAT\, HTZ1::HIS3",GSM4835538,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835538,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840014,OTHER,76,3552971196,PRJNA669852,SAMN16478260,1345344097,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307517,"RPB3::RPB3-3xFLAG NAT\, HTZ1::HIS3",GSM4835539,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835539,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840015,OTHER,74,2358907664,PRJNA669852,SAMN16478219,1036344648,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307518,"RPB3::RPB3-3xFLAG NAT\, INO80::HIS3",GSM4835540,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835540,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840016,OTHER,76,4215656160,PRJNA669852,SAMN16478253,1605799159,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307519,"RPB3::RPB3-3xFLAG NAT\, INO80::HIS3",GSM4835541,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835541,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840017,OTHER,76,2996655300,PRJNA669852,SAMN16478252,1110602677,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307520,"RPB3::RPB3-3xFLAG NAT\, INO80::HIS3",GSM4835542,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835542,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840019,OTHER,76,2932690964,PRJNA669852,SAMN16478250,1088040727,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307522,"RPB3::RPB3-3xFLAG NAT\, ISW1::HIS3",GSM4835544,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835544,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840020,OTHER,75,2324058375,PRJNA669852,SAMN16478249,837508935,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307523,"RPB3::RPB3-3xFLAG NAT\, ISW1::HIS3",GSM4835545,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835545,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840021,OTHER,74,2390648176,PRJNA669852,SAMN16478248,1172014682,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307524,"RPB3::RPB3-3xFLAG NAT\, ISW2::HIS3",GSM4835546,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835546,Yeast,SRP287624,BY4741,Nascent RNA
SRR12840022,OTHER,76,2523860668,PRJNA669852,SAMN16478247,940847861,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9307525,"RPB3::RPB3-3xFLAG NAT\, ISW2::HIS3",GSM4835547,NextSeq 500,IP against 3xFLAG affinity label,SINGLE,other,TRANSCRIPTOMIC,Saccharomyces cerevisiae,ILLUMINA,2021-08-13T00:00:00Z,GSM4835547,Yeast,SRP287624,BY4741,Nascent RNA
